PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Sex_Encoded,Embarked_Encoded,FamilySize,IsAlone,AgeGroup,FareBand
357,1,1,female,22.0,0,1,55.0,S,1,0,2,0,Young Adult,High
358,0,2,female,38.0,0,0,13.0,S,1,0,1,1,Adult,Medium
359,1,3,female,28.0,0,0,7.8792,Q,1,2,1,1,Young Adult,Low
360,1,3,female,28.0,0,0,7.8792,Q,1,2,1,1,Young Adult,Low
361,0,3,male,40.0,1,4,27.9,S,0,0,6,0,Adult,Medium
362,0,2,male,29.0,1,0,27.7208,C,0,1,2,0,Young Adult,Medium
363,0,3,female,45.0,0,1,14.4542,C,1,1,2,0,Adult,Medium
364,0,3,male,35.0,0,0,7.05,S,0,0,1,1,Young Adult,Low
365,0,3,male,28.0,1,0,15.5,Q,0,2,2,0,Young Adult,Medium
366,0,3,male,30.0,0,0,7.25,S,0,0,1,1,Young Adult,Low
367,1,1,female,60.0,1,0,75.25,C,1,1,2,0,Adult,High
368,1,3,female,28.0,0,0,7.2292,C,1,1,1,1,Young Adult,Low
369,1,3,female,28.0,0,0,7.75,Q,1,2,1,1,Young Adult,Low
370,1,1,female,24.0,0,0,69.3,C,1,1,1,1,Young Adult,High
371,1,1,male,25.0,1,0,55.4417,C,0,1,2,0,Young Adult,High
372,0,3,male,18.0,1,0,6.4958,S,0,0,2,0,Young Adult,Low
373,0,3,male,19.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
374,0,1,male,22.0,0,0,135.6333,C,0,1,1,1,Young Adult,Very High
375,0,3,female,3.0,3,1,21.075,S,1,0,5,0,Child,Medium
376,1,1,female,28.0,1,0,82.1708,C,1,1,2,0,Young Adult,High
377,1,3,female,22.0,0,0,7.25,S,1,0,1,1,Young Adult,Low
378,0,1,male,27.0,0,2,211.5,C,0,1,3,0,Young Adult,Very High
379,0,3,male,20.0,0,0,4.0125,C,0,1,1,1,Young Adult,Low
380,0,3,male,19.0,0,0,7.775,S,0,0,1,1,Young Adult,Low
381,1,1,female,42.0,0,0,227.525,C,1,1,1,1,Adult,Very High
382,1,3,female,1.0,0,2,15.7417,C,1,1,3,0,Child,Medium
383,0,3,male,32.0,0,0,7.925,S,0,0,1,1,Young Adult,Low
384,1,1,female,35.0,1,0,52.0,S,1,0,2,0,Young Adult,High
385,0,3,male,28.0,0,0,7.8958,S,0,0,1,1,Young Adult,Low
386,0,2,male,18.0,0,0,73.5,S,0,0,1,1,Young Adult,High
387,0,3,male,1.0,5,2,46.9,S,0,0,8,0,Child,High
388,1,2,female,36.0,0,0,13.0,S,1,0,1,1,Adult,Medium
389,0,3,male,28.0,0,0,7.7292,Q,0,2,1,1,Young Adult,Low
390,1,2,female,17.0,0,0,12.0,C,1,1,1,1,Teen,Medium
391,1,1,male,36.0,1,2,120.0,S,0,0,4,0,Adult,Very High
392,1,3,male,21.0,0,0,7.7958,S,0,0,1,1,Young Adult,Low
393,0,3,male,28.0,2,0,7.925,S,0,0,3,0,Young Adult,Low
394,1,1,female,23.0,1,0,113.275,C,1,1,2,0,Young Adult,Very High
395,1,3,female,24.0,0,2,16.7,S,1,0,3,0,Young Adult,Medium
396,0,3,male,22.0,0,0,7.7958,S,0,0,1,1,Young Adult,Low
397,0,3,female,31.0,0,0,7.8542,S,1,0,1,1,Young Adult,Low
398,0,2,male,46.0,0,0,26.0,S,0,0,1,1,Adult,Medium
399,0,2,male,23.0,0,0,10.5,S,0,0,1,1,Young Adult,Medium
400,1,2,female,28.0,0,0,12.65,S,1,0,1,1,Young Adult,Medium
401,1,3,male,39.0,0,0,7.925,S,0,0,1,1,Adult,Low
402,0,3,male,26.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
403,0,3,female,21.0,1,0,9.825,S,1,0,2,0,Young Adult,Low
404,0,3,male,28.0,1,0,15.85,S,0,0,2,0,Young Adult,Medium
405,0,3,female,20.0,0,0,8.6625,S,1,0,1,1,Young Adult,Low
406,0,2,male,34.0,1,0,21.0,S,0,0,2,0,Young Adult,Medium
407,0,3,male,51.0,0,0,7.75,S,0,0,1,1,Adult,Low
408,1,2,male,3.0,1,1,18.75,S,0,0,3,0,Child,Medium
409,0,3,male,21.0,0,0,7.775,S,0,0,1,1,Young Adult,Low
410,0,3,female,28.0,3,1,25.4667,S,1,0,5,0,Young Adult,Medium
411,0,3,male,28.0,0,0,7.8958,S,0,0,1,1,Young Adult,Low
412,0,3,male,28.0,0,0,6.8583,Q,0,2,1,1,Young Adult,Low
413,1,1,female,33.0,1,0,90.0,Q,1,2,2,0,Young Adult,High
414,0,2,male,28.0,0,0,0.0,S,0,0,1,1,Young Adult,Low
415,1,3,male,44.0,0,0,7.925,S,0,0,1,1,Adult,Low
416,0,3,female,28.0,0,0,8.05,S,1,0,1,1,Young Adult,Low
417,1,2,female,34.0,1,1,32.5,S,1,0,3,0,Young Adult,High
418,1,2,female,18.0,0,2,13.0,S,1,0,3,0,Young Adult,Medium
419,0,2,male,30.0,0,0,13.0,S,0,0,1,1,Young Adult,Medium
420,0,3,female,10.0,0,2,24.15,S,1,0,3,0,Child,Medium
421,0,3,male,28.0,0,0,7.8958,C,0,1,1,1,Young Adult,Low
422,0,3,male,21.0,0,0,7.7333,Q,0,2,1,1,Young Adult,Low
423,0,3,male,29.0,0,0,7.875,S,0,0,1,1,Young Adult,Low
424,0,3,female,28.0,1,1,14.4,S,1,0,3,0,Young Adult,Medium
425,0,3,male,18.0,1,1,20.2125,S,0,0,3,0,Young Adult,Medium
426,0,3,male,28.0,0,0,7.25,S,0,0,1,1,Young Adult,Low
427,1,2,female,28.0,1,0,26.0,S,1,0,2,0,Young Adult,Medium
428,1,2,female,19.0,0,0,26.0,S,1,0,1,1,Young Adult,Medium
429,0,3,male,28.0,0,0,7.75,Q,0,2,1,1,Young Adult,Low
430,1,3,male,32.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
431,1,1,male,28.0,0,0,26.55,S,0,0,1,1,Young Adult,Medium
432,1,3,female,28.0,1,0,16.1,S,1,0,2,0,Young Adult,Medium
433,1,2,female,42.0,1,0,26.0,S,1,0,2,0,Adult,Medium
434,0,3,male,17.0,0,0,7.125,S,0,0,1,1,Teen,Low
435,0,1,male,50.0,1,0,55.9,S,0,0,2,0,Adult,High
436,1,1,female,14.0,1,2,120.0,S,1,0,4,0,Teen,Very High
437,0,3,female,21.0,2,2,34.375,S,1,0,5,0,Young Adult,High
438,1,2,female,24.0,2,3,18.75,S,1,0,6,0,Young Adult,Medium
439,0,1,male,64.0,1,4,263.0,S,0,0,6,0,Senior,Very High
440,0,2,male,31.0,0,0,10.5,S,0,0,1,1,Young Adult,Medium
441,1,2,female,45.0,1,1,26.25,S,1,0,3,0,Adult,Medium
442,0,3,male,20.0,0,0,9.5,S,0,0,1,1,Young Adult,Low
443,0,3,male,25.0,1,0,7.775,S,0,0,2,0,Young Adult,Low
444,1,2,female,28.0,0,0,13.0,S,1,0,1,1,Young Adult,Medium
445,1,3,male,28.0,0,0,8.1125,S,0,0,1,1,Young Adult,Low
446,1,1,male,4.0,0,2,81.8583,S,0,0,3,0,Child,High
447,1,2,female,13.0,0,1,19.5,S,1,0,2,0,Teen,Medium
448,1,1,male,34.0,0,0,26.55,S,0,0,1,1,Young Adult,Medium
449,1,3,female,5.0,2,1,19.2583,C,1,1,4,0,Child,Medium
450,1,1,male,52.0,0,0,30.5,S,0,0,1,1,Adult,High
451,0,2,male,36.0,1,2,27.75,S,0,0,4,0,Adult,Medium
452,0,3,male,28.0,1,0,19.9667,S,0,0,2,0,Young Adult,Medium
453,0,1,male,30.0,0,0,27.75,C,0,1,1,1,Young Adult,Medium
454,1,1,male,49.0,1,0,89.1042,C,0,1,2,0,Adult,High
455,0,3,male,28.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
456,1,3,male,29.0,0,0,7.8958,C,0,1,1,1,Young Adult,Low
457,0,1,male,65.0,0,0,26.55,S,0,0,1,1,Senior,Medium
458,1,1,female,28.0,1,0,51.8625,S,1,0,2,0,Young Adult,High
459,1,2,female,50.0,0,0,10.5,S,1,0,1,1,Adult,Medium
460,0,3,male,28.0,0,0,7.75,Q,0,2,1,1,Young Adult,Low
461,1,1,male,48.0,0,0,26.55,S,0,0,1,1,Adult,Medium
462,0,3,male,34.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
463,0,1,male,47.0,0,0,38.5,S,0,0,1,1,Adult,High
464,0,2,male,48.0,0,0,13.0,S,0,0,1,1,Adult,Medium
465,0,3,male,28.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
466,0,3,male,38.0,0,0,7.05,S,0,0,1,1,Adult,Low
467,0,2,male,28.0,0,0,0.0,S,0,0,1,1,Young Adult,Low
468,0,1,male,56.0,0,0,26.55,S,0,0,1,1,Adult,Medium
469,0,3,male,28.0,0,0,7.725,Q,0,2,1,1,Young Adult,Low
470,1,3,female,0.75,2,1,19.2583,C,1,1,4,0,Child,Medium
471,0,3,male,28.0,0,0,7.25,S,0,0,1,1,Young Adult,Low
472,0,3,male,38.0,0,0,8.6625,S,0,0,1,1,Adult,Low
473,1,2,female,33.0,1,2,27.75,S,1,0,4,0,Young Adult,Medium
474,1,2,female,23.0,0,0,13.7917,C,1,1,1,1,Young Adult,Medium
475,0,3,female,22.0,0,0,9.8375,S,1,0,1,1,Young Adult,Low
476,0,1,male,28.0,0,0,52.0,S,0,0,1,1,Young Adult,High
477,0,2,male,34.0,1,0,21.0,S,0,0,2,0,Young Adult,Medium
478,0,3,male,29.0,1,0,7.0458,S,0,0,2,0,Young Adult,Low
479,0,3,male,22.0,0,0,7.5208,S,0,0,1,1,Young Adult,Low
480,1,3,female,2.0,0,1,12.2875,S,1,0,2,0,Child,Medium
481,0,3,male,9.0,5,2,46.9,S,0,0,8,0,Child,High
482,0,2,male,28.0,0,0,0.0,S,0,0,1,1,Young Adult,Low
483,0,3,male,50.0,0,0,8.05,S,0,0,1,1,Adult,Low
484,1,3,female,63.0,0,0,9.5875,S,1,0,1,1,Senior,Low
485,1,1,male,25.0,1,0,91.0792,C,0,1,2,0,Young Adult,High
486,0,3,female,28.0,3,1,25.4667,S,1,0,5,0,Young Adult,Medium
487,1,1,female,35.0,1,0,90.0,S,1,0,2,0,Young Adult,High
488,0,1,male,58.0,0,0,29.7,C,0,1,1,1,Adult,Medium
489,0,3,male,30.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
490,1,3,male,9.0,1,1,15.9,S,0,0,3,0,Child,Medium
491,0,3,male,28.0,1,0,19.9667,S,0,0,2,0,Young Adult,Medium
492,0,3,male,21.0,0,0,7.25,S,0,0,1,1,Young Adult,Low
493,0,1,male,55.0,0,0,30.5,S,0,0,1,1,Adult,High
494,0,1,male,71.0,0,0,49.5042,C,0,1,1,1,Senior,High
495,0,3,male,21.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
496,0,3,male,28.0,0,0,14.4583,C,0,1,1,1,Young Adult,Medium
497,1,1,female,54.0,1,0,78.2667,C,1,1,2,0,Adult,High
498,0,3,male,28.0,0,0,15.1,S,0,0,1,1,Young Adult,Medium
499,0,1,female,25.0,1,2,151.55,S,1,0,4,0,Young Adult,Very High
500,0,3,male,24.0,0,0,7.7958,S,0,0,1,1,Young Adult,Low
501,0,3,male,17.0,0,0,8.6625,S,0,0,1,1,Teen,Low
502,0,3,female,21.0,0,0,7.75,Q,1,2,1,1,Young Adult,Low
503,0,3,female,28.0,0,0,7.6292,Q,1,2,1,1,Young Adult,Low
504,0,3,female,37.0,0,0,9.5875,S,1,0,1,1,Adult,Low
505,1,1,female,16.0,0,0,86.5,S,1,0,1,1,Teen,High
506,0,1,male,18.0,1,0,108.9,C,0,1,2,0,Young Adult,Very High
507,1,2,female,33.0,0,2,26.0,S,1,0,3,0,Young Adult,Medium
508,1,1,male,28.0,0,0,26.55,S,0,0,1,1,Young Adult,Medium
509,0,3,male,28.0,0,0,22.525,S,0,0,1,1,Young Adult,Medium
510,1,3,male,26.0,0,0,56.4958,S,0,0,1,1,Young Adult,High
511,1,3,male,29.0,0,0,7.75,Q,0,2,1,1,Young Adult,Low
512,0,3,male,28.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
513,1,1,male,36.0,0,0,26.2875,S,0,0,1,1,Adult,Medium
514,1,1,female,54.0,1,0,59.4,C,1,1,2,0,Adult,High
515,0,3,male,24.0,0,0,7.4958,S,0,0,1,1,Young Adult,Low
516,0,1,male,47.0,0,0,34.0208,S,0,0,1,1,Adult,High
517,1,2,female,34.0,0,0,10.5,S,1,0,1,1,Young Adult,Medium
518,0,3,male,28.0,0,0,24.15,Q,0,2,1,1,Young Adult,Medium
519,1,2,female,36.0,1,0,26.0,S,1,0,2,0,Adult,Medium
520,0,3,male,32.0,0,0,7.8958,S,0,0,1,1,Young Adult,Low
521,1,1,female,30.0,0,0,93.5,S,1,0,1,1,Young Adult,High
522,0,3,male,22.0,0,0,7.8958,S,0,0,1,1,Young Adult,Low
523,0,3,male,28.0,0,0,7.225,C,0,1,1,1,Young Adult,Low
524,1,1,female,44.0,0,1,57.9792,C,1,1,2,0,Adult,High
525,0,3,male,28.0,0,0,7.2292,C,0,1,1,1,Young Adult,Low
526,0,3,male,40.5,0,0,7.75,Q,0,2,1,1,Adult,Low
527,1,2,female,50.0,0,0,10.5,S,1,0,1,1,Adult,Medium
528,0,1,male,28.0,0,0,221.7792,S,0,0,1,1,Young Adult,Very High
529,0,3,male,39.0,0,0,7.925,S,0,0,1,1,Adult,Low
530,0,2,male,23.0,2,1,11.5,S,0,0,4,0,Young Adult,Medium
531,1,2,female,2.0,1,1,26.0,S,1,0,3,0,Child,Medium
532,0,3,male,28.0,0,0,7.2292,C,0,1,1,1,Young Adult,Low
533,0,3,male,17.0,1,1,7.2292,C,0,1,3,0,Teen,Low
534,1,3,female,28.0,0,2,22.3583,C,1,1,3,0,Young Adult,Medium
535,0,3,female,30.0,0,0,8.6625,S,1,0,1,1,Young Adult,Low
536,1,2,female,7.0,0,2,26.25,S,1,0,3,0,Child,Medium
537,0,1,male,45.0,0,0,26.55,S,0,0,1,1,Adult,Medium
538,1,1,female,30.0,0,0,106.425,C,1,1,1,1,Young Adult,Very High
539,0,3,male,28.0,0,0,14.5,S,0,0,1,1,Young Adult,Medium
540,1,1,female,22.0,0,2,49.5,C,1,1,3,0,Young Adult,High
541,1,1,female,36.0,0,2,71.0,S,1,0,3,0,Adult,High
542,0,3,female,9.0,4,2,31.275,S,1,0,7,0,Child,High
543,0,3,female,11.0,4,2,31.275,S,1,0,7,0,Child,High
544,1,2,male,32.0,1,0,26.0,S,0,0,2,0,Young Adult,Medium
545,0,1,male,50.0,1,0,106.425,C,0,1,2,0,Adult,Very High
546,0,1,male,64.0,0,0,26.0,S,0,0,1,1,Senior,Medium
547,1,2,female,19.0,1,0,26.0,S,1,0,2,0,Young Adult,Medium
548,1,2,male,28.0,0,0,13.8625,C,0,1,1,1,Young Adult,Medium
549,0,3,male,33.0,1,1,20.525,S,0,0,3,0,Young Adult,Medium
550,1,2,male,8.0,1,1,36.75,S,0,0,3,0,Child,High
551,1,1,male,17.0,0,2,110.8833,C,0,1,3,0,Teen,Very High
552,0,2,male,27.0,0,0,26.0,S,0,0,1,1,Young Adult,Medium
553,0,3,male,28.0,0,0,7.8292,Q,0,2,1,1,Young Adult,Low
554,1,3,male,22.0,0,0,7.225,C,0,1,1,1,Young Adult,Low
555,1,3,female,22.0,0,0,7.775,S,1,0,1,1,Young Adult,Low
556,0,1,male,62.0,0,0,26.55,S,0,0,1,1,Senior,Medium
557,1,1,female,48.0,1,0,39.6,C,1,1,2,0,Adult,High
558,0,1,male,28.0,0,0,227.525,C,0,1,1,1,Young Adult,Very High
559,1,1,female,39.0,1,1,79.65,S,1,0,3,0,Adult,High
560,1,3,female,36.0,1,0,17.4,S,1,0,2,0,Adult,Medium
561,0,3,male,28.0,0,0,7.75,Q,0,2,1,1,Young Adult,Low
562,0,3,male,40.0,0,0,7.8958,S,0,0,1,1,Adult,Low
563,0,2,male,28.0,0,0,13.5,S,0,0,1,1,Young Adult,Medium
564,0,3,male,28.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
565,0,3,female,28.0,0,0,8.05,S,1,0,1,1,Young Adult,Low
566,0,3,male,24.0,2,0,24.15,S,0,0,3,0,Young Adult,Medium
567,0,3,male,19.0,0,0,7.8958,S,0,0,1,1,Young Adult,Low
568,0,3,female,29.0,0,4,21.075,S,1,0,5,0,Young Adult,Medium
569,0,3,male,28.0,0,0,7.2292,C,0,1,1,1,Young Adult,Low
570,1,3,male,32.0,0,0,7.8542,S,0,0,1,1,Young Adult,Low
571,1,2,male,62.0,0,0,10.5,S,0,0,1,1,Senior,Medium
572,1,1,female,53.0,2,0,51.4792,S,1,0,3,0,Adult,High
573,1,1,male,36.0,0,0,26.3875,S,0,0,1,1,Adult,Medium
574,1,3,female,28.0,0,0,7.75,Q,1,2,1,1,Young Adult,Low
575,0,3,male,16.0,0,0,8.05,S,0,0,1,1,Teen,Low
576,0,3,male,19.0,0,0,14.5,S,0,0,1,1,Young Adult,Medium
577,1,2,female,34.0,0,0,13.0,S,1,0,1,1,Young Adult,Medium
578,1,1,female,39.0,1,0,55.9,S,1,0,2,0,Adult,High
579,0,3,female,28.0,1,0,14.4583,C,1,1,2,0,Young Adult,Medium
580,1,3,male,32.0,0,0,7.925,S,0,0,1,1,Young Adult,Low
581,1,2,female,25.0,1,1,30.0,S,1,0,3,0,Young Adult,Medium
582,1,1,female,39.0,1,1,110.8833,C,1,1,3,0,Adult,Very High
583,0,2,male,54.0,0,0,26.0,S,0,0,1,1,Adult,Medium
584,0,1,male,36.0,0,0,40.125,C,0,1,1,1,Adult,High
585,0,3,male,28.0,0,0,8.7125,C,0,1,1,1,Young Adult,Low
586,1,1,female,18.0,0,2,79.65,S,1,0,3,0,Young Adult,High
587,0,2,male,47.0,0,0,15.0,S,0,0,1,1,Adult,Medium
588,1,1,male,60.0,1,1,79.2,C,0,1,3,0,Adult,High
589,0,3,male,22.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
590,0,3,male,28.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
591,0,3,male,35.0,0,0,7.125,S,0,0,1,1,Young Adult,Low
592,1,1,female,52.0,1,0,78.2667,C,1,1,2,0,Adult,High
593,0,3,male,47.0,0,0,7.25,S,0,0,1,1,Adult,Low
594,0,3,female,28.0,0,2,7.75,Q,1,2,3,0,Young Adult,Low
595,0,2,male,37.0,1,0,26.0,S,0,0,2,0,Adult,Medium
596,0,3,male,36.0,1,1,24.15,S,0,0,3,0,Adult,Medium
597,1,2,female,28.0,0,0,33.0,S,1,0,1,1,Young Adult,High
598,0,3,male,49.0,0,0,0.0,S,0,0,1,1,Adult,Low
599,0,3,male,28.0,0,0,7.225,C,0,1,1,1,Young Adult,Low
600,1,1,male,49.0,1,0,56.9292,C,0,1,2,0,Adult,High
601,1,2,female,24.0,2,1,27.0,S,1,0,4,0,Young Adult,Medium
602,0,3,male,28.0,0,0,7.8958,S,0,0,1,1,Young Adult,Low
603,0,1,male,28.0,0,0,42.4,S,0,0,1,1,Young Adult,High
604,0,3,male,44.0,0,0,8.05,S,0,0,1,1,Adult,Low
605,1,1,male,35.0,0,0,26.55,C,0,1,1,1,Young Adult,Medium
606,0,3,male,36.0,1,0,15.55,S,0,0,2,0,Adult,Medium
607,0,3,male,30.0,0,0,7.8958,S,0,0,1,1,Young Adult,Low
608,1,1,male,27.0,0,0,30.5,S,0,0,1,1,Young Adult,High
609,1,2,female,22.0,1,2,41.5792,C,1,1,4,0,Young Adult,High
610,1,1,female,40.0,0,0,153.4625,S,1,0,1,1,Adult,Very High
611,0,3,female,39.0,1,5,31.275,S,1,0,7,0,Adult,High
612,0,3,male,28.0,0,0,7.05,S,0,0,1,1,Young Adult,Low
613,1,3,female,28.0,1,0,15.5,Q,1,2,2,0,Young Adult,Medium
614,0,3,male,28.0,0,0,7.75,Q,0,2,1,1,Young Adult,Low
615,0,3,male,35.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
616,1,2,female,24.0,1,2,65.0,S,1,0,4,0,Young Adult,High
617,0,3,male,34.0,1,1,14.4,S,0,0,3,0,Young Adult,Medium
618,0,3,female,26.0,1,0,16.1,S,1,0,2,0,Young Adult,Medium
619,1,2,female,4.0,2,1,39.0,S,1,0,4,0,Child,High
620,0,2,male,26.0,0,0,10.5,S,0,0,1,1,Young Adult,Medium
621,0,3,male,27.0,1,0,14.4542,C,0,1,2,0,Young Adult,Medium
622,1,1,male,42.0,1,0,52.5542,S,0,0,2,0,Adult,High
623,1,3,male,20.0,1,1,15.7417,C,0,1,3,0,Young Adult,Medium
624,0,3,male,21.0,0,0,7.8542,S,0,0,1,1,Young Adult,Low
625,0,3,male,21.0,0,0,16.1,S,0,0,1,1,Young Adult,Medium
626,0,1,male,61.0,0,0,32.3208,S,0,0,1,1,Senior,High
627,0,2,male,57.0,0,0,12.35,Q,0,2,1,1,Adult,Medium
628,1,1,female,21.0,0,0,77.9583,S,1,0,1,1,Young Adult,High
629,0,3,male,26.0,0,0,7.8958,S,0,0,1,1,Young Adult,Low
630,0,3,male,28.0,0,0,7.7333,Q,0,2,1,1,Young Adult,Low
631,1,1,male,80.0,0,0,30.0,S,0,0,1,1,Senior,Medium
632,0,3,male,51.0,0,0,7.0542,S,0,0,1,1,Adult,Low
633,1,1,male,32.0,0,0,30.5,C,0,1,1,1,Young Adult,High
634,0,1,male,28.0,0,0,0.0,S,0,0,1,1,Young Adult,Low
635,0,3,female,9.0,3,2,27.9,S,1,0,6,0,Child,Medium
636,1,2,female,28.0,0,0,13.0,S,1,0,1,1,Young Adult,Medium
637,0,3,male,32.0,0,0,7.925,S,0,0,1,1,Young Adult,Low
638,0,2,male,31.0,1,1,26.25,S,0,0,3,0,Young Adult,Medium
639,0,3,female,41.0,0,5,39.6875,S,1,0,6,0,Adult,High
640,0,3,male,28.0,1,0,16.1,S,0,0,2,0,Young Adult,Medium
641,0,3,male,20.0,0,0,7.8542,S,0,0,1,1,Young Adult,Low
642,1,1,female,24.0,0,0,69.3,C,1,1,1,1,Young Adult,High
643,0,3,female,2.0,3,2,27.9,S,1,0,6,0,Child,Medium
644,1,3,male,28.0,0,0,56.4958,S,0,0,1,1,Young Adult,High
645,1,3,female,0.75,2,1,19.2583,C,1,1,4,0,Child,Medium
646,1,1,male,48.0,1,0,76.7292,C,0,1,2,0,Adult,High
647,0,3,male,19.0,0,0,7.8958,S,0,0,1,1,Young Adult,Low
648,1,1,male,56.0,0,0,35.5,C,0,1,1,1,Adult,High
649,0,3,male,28.0,0,0,7.55,S,0,0,1,1,Young Adult,Low
650,1,3,female,23.0,0,0,7.55,S,1,0,1,1,Young Adult,Low
651,0,3,male,28.0,0,0,7.8958,S,0,0,1,1,Young Adult,Low
652,1,2,female,18.0,0,1,23.0,S,1,0,2,0,Young Adult,Medium
653,0,3,male,21.0,0,0,8.4333,S,0,0,1,1,Young Adult,Low
654,1,3,female,28.0,0,0,7.8292,Q,1,2,1,1,Young Adult,Low
655,0,3,female,18.0,0,0,6.75,Q,1,2,1,1,Young Adult,Low
656,0,2,male,24.0,2,0,73.5,S,0,0,3,0,Young Adult,High
657,0,3,male,28.0,0,0,7.8958,S,0,0,1,1,Young Adult,Low
658,0,3,female,32.0,1,1,15.5,Q,1,2,3,0,Young Adult,Medium
659,0,2,male,23.0,0,0,13.0,S,0,0,1,1,Young Adult,Medium
660,0,1,male,58.0,0,2,113.275,C,0,1,3,0,Adult,Very High
661,1,1,male,50.0,2,0,133.65,S,0,0,3,0,Adult,Very High
662,0,3,male,40.0,0,0,7.225,C,0,1,1,1,Adult,Low
663,0,1,male,47.0,0,0,25.5875,S,0,0,1,1,Adult,Medium
664,0,3,male,36.0,0,0,7.4958,S,0,0,1,1,Adult,Low
665,1,3,male,20.0,1,0,7.925,S,0,0,2,0,Young Adult,Low
666,0,2,male,32.0,2,0,73.5,S,0,0,3,0,Young Adult,High
667,0,2,male,25.0,0,0,13.0,S,0,0,1,1,Young Adult,Medium
668,0,3,male,28.0,0,0,7.775,S,0,0,1,1,Young Adult,Low
669,0,3,male,43.0,0,0,8.05,S,0,0,1,1,Adult,Low
670,1,1,female,28.0,1,0,52.0,S,1,0,2,0,Young Adult,High
671,1,2,female,40.0,1,1,39.0,S,1,0,3,0,Adult,High
672,0,1,male,31.0,1,0,52.0,S,0,0,2,0,Young Adult,High
673,0,2,male,70.0,0,0,10.5,S,0,0,1,1,Senior,Medium
674,1,2,male,31.0,0,0,13.0,S,0,0,1,1,Young Adult,Medium
675,0,2,male,28.0,0,0,0.0,S,0,0,1,1,Young Adult,Low
676,0,3,male,18.0,0,0,7.775,S,0,0,1,1,Young Adult,Low
677,0,3,male,24.5,0,0,8.05,S,0,0,1,1,Young Adult,Low
678,1,3,female,18.0,0,0,9.8417,S,1,0,1,1,Young Adult,Low
679,0,3,female,43.0,1,6,46.9,S,1,0,8,0,Adult,High
680,1,1,male,36.0,0,1,512.3292,C,0,1,2,0,Adult,Very High
681,0,3,female,28.0,0,0,8.1375,Q,1,2,1,1,Young Adult,Low
682,1,1,male,27.0,0,0,76.7292,C,0,1,1,1,Young Adult,High
683,0,3,male,20.0,0,0,9.225,S,0,0,1,1,Young Adult,Low
684,0,3,male,14.0,5,2,46.9,S,0,0,8,0,Teen,High
685,0,2,male,60.0,1,1,39.0,S,0,0,3,0,Adult,High
686,0,2,male,25.0,1,2,41.5792,C,0,1,4,0,Young Adult,High
687,0,3,male,14.0,4,1,39.6875,S,0,0,6,0,Teen,High
688,0,3,male,19.0,0,0,10.1708,S,0,0,1,1,Young Adult,Medium
689,0,3,male,18.0,0,0,7.7958,S,0,0,1,1,Young Adult,Low
690,1,1,female,15.0,0,1,211.3375,S,1,0,2,0,Teen,Very High
691,1,1,male,31.0,1,0,57.0,S,0,0,2,0,Young Adult,High
692,1,3,female,4.0,0,1,13.4167,C,1,1,2,0,Child,Medium
693,1,3,male,28.0,0,0,56.4958,S,0,0,1,1,Young Adult,High
694,0,3,male,25.0,0,0,7.225,C,0,1,1,1,Young Adult,Low
695,0,1,male,60.0,0,0,26.55,S,0,0,1,1,Adult,Medium
696,0,2,male,52.0,0,0,13.5,S,0,0,1,1,Adult,Medium
697,0,3,male,44.0,0,0,8.05,S,0,0,1,1,Adult,Low
698,1,3,female,28.0,0,0,7.7333,Q,1,2,1,1,Young Adult,Low
699,0,1,male,49.0,1,1,110.8833,C,0,1,3,0,Adult,Very High
700,0,3,male,42.0,0,0,7.65,S,0,0,1,1,Adult,Low
701,1,1,female,18.0,1,0,227.525,C,1,1,2,0,Young Adult,Very High
702,1,1,male,35.0,0,0,26.2875,S,0,0,1,1,Young Adult,Medium
703,0,3,female,18.0,0,1,14.4542,C,1,1,2,0,Young Adult,Medium
704,0,3,male,25.0,0,0,7.7417,Q,0,2,1,1,Young Adult,Low
705,0,3,male,26.0,1,0,7.8542,S,0,0,2,0,Young Adult,Low
706,0,2,male,39.0,0,0,26.0,S,0,0,1,1,Adult,Medium
707,1,2,female,45.0,0,0,13.5,S,1,0,1,1,Adult,Medium
708,1,1,male,42.0,0,0,26.2875,S,0,0,1,1,Adult,Medium
709,1,1,female,22.0,0,0,151.55,S,1,0,1,1,Young Adult,Very High
710,1,3,male,28.0,1,1,15.2458,C,0,1,3,0,Young Adult,Medium
711,1,1,female,24.0,0,0,49.5042,C,1,1,1,1,Young Adult,High
712,0,1,male,28.0,0,0,26.55,S,0,0,1,1,Young Adult,Medium
713,1,1,male,48.0,1,0,52.0,S,0,0,2,0,Adult,High
714,0,3,male,29.0,0,0,9.4833,S,0,0,1,1,Young Adult,Low
